cell_id,centroid_lat,centroid_lon,grid_area_km2,d0_land,d1_feasible,d1_exclusion_reason,open_water_flag,protected_land_flag,regulatory_floodway_flag,mean_slope_deg,urban_context,developed_context,grand_region,sampling_stratum,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,county_geoid,county_name,county_assignment_method,grid_resolution_km,slope_excluded_frac,permanent_open_water_frac,protected_gap12_frac,regulatory_floodway_frac,military_land_frac,hard_exclusion_union_frac,available_area_km2,largest_available_component_km2,available_fraction,d1_status,d1_feasible_v2,d1_exclusion_reasons,d1_feasible_v1,domain_rule_version,slope_threshold_pct,minimum_available_component_km2,military_land_flag,flood_mapping_coverage_status,final_raw_score,final_score,rank_within_batch,score_p05,score_p95,score_iqr,grid_regime,regime_distance,novelty_flag,model_version,selected_specification,phase2_sha256,scored_at_utc,d1_eligibility,exclusion_context,engineering_check_status,d1_relative_percentile,statewide_rank,review_band
TN5K-1728,35.348049572,-87.192328993,25,1,1,,0,0,0,0.9438984477,nonmetro,nonmetro_proxy,middle,middle|nonmetro,3.1324908256,3.1324908256,27.8441017004,161,1,5.4824231696,27.9078910781,0.1338983078,1088,5,33,0,44,1543,1256,8391,543,G,221,12,J,153,37,G,47055,Giles County,point_in_county,5,0,0,0,0,0,0,23.75,23.75,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.69025011669,35.732179458,2451,31.2445912093,42.9742655432,7.1111364154,R2,2.05802169136,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,35.732179458,2451,Lower empirical affinity
TN5K-1729,35.3925304555,-87.1871906122,25,1,1,,0,0,0,1.2394653559,nonmetro,nonmetro_proxy,middle,middle|nonmetro,3.3006865286,3.3006865286,25.8468012111,161,1,3.6656864513,27.4615428408,0.4475355651,1112,5,33,0,51,1543,1256,8391,543,G,221,12,J,153,37,G,47055,Giles County,point_in_county,5,0,0,0,0,0,0,23.75,23.75,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.33834166828,48.5083124573,1958,44.2962878615,56.2457299021,7.26485994079,R2,2.04427487001,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,48.5083124573,1958,Lower empirical affinity
TN5K-1730,35.4370093355,-87.18204624969999,25,1,1,,0,0,0,1.1855265631,nonmetro,nonmetro_proxy,middle,middle|nonmetro,1.3989984421,1.3989984421,24.2686662077,500,1,1.7157691423,26.8456882373,0.4795555564,1137,5,33,0,52,1543,1256,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0,0,0,0,0,0,23.75,23.75,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.50260028265,76.5201548622,871,72.642905944,80.7674789342,4.44659530859,R1,2.66090590545,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,76.5201548622,871,Priority 2
TN5K-1731,35.4814862359,-87.1768958951,25,1,1,,1,0,0,2.0151643356,nonmetro,nonmetro_proxy,middle,middle|nonmetro,1.275925132,1.275925132,22.9560414668,500,1,0.8150223572,25.5331282145,0.5664651359,1157,5,33,0,55,1543,1256,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0.002631578947368421,0.01052631578947368,0,0,0,0.0131578947368421,23.4375,23.4375,0.9868421052631579,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.13610824628,85.3108631291,529,83.0938282851,88.3876110225,2.67592803462,R1,2.65867288461,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,85.3108631291,529,Priority 2
TN5K-1732,35.5259611804,-87.1717395379,25,1,1,,1,0,0,1.181174371,nonmetro,nonmetro_proxy,middle,middle|nonmetro,3.7977543959,3.7977543959,21.3256034663,500,1,3.0737842821,24.6441342189,0.6008021737,1191,5,33,0,52,1336,629,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0,0,0,0,0,0,23.75,23.75,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-3.25956860764,51.6055568208,1843,47.819403325,58.0368936461,5.44295149169,R1,2.6492862115,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,51.6055568208,1843,Watchlist
TN5K-1733,35.5704341929,-87.1665771676,25,1,1,,1,0,0,0.6399474608,nonmetro,nonmetro_proxy,middle,middle|nonmetro,0.6759467774,5.177457241,17.4943039996,500,1,0.1638381795,24.3435319825,0.09956440580000001,1186,6,33,0,47,981,532,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0,0.002631578947368421,0,0,0,0.002631578947368421,23.6875,23.6875,0.9973684210526316,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.13555125209,85.3336369847,528,82.4584377135,88.4354361193,1.50876793441,R1,2.53925218028,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,85.3336369847,528,Priority 2
TN5K-1734,35.6149052974,-87.16140877380001,25,1,1,,1,0,0,0.5884107318,nonmetro,nonmetro_proxy,middle,middle|nonmetro,2.9458756507,5.9138009834,14.3764330707,500,1,0.3093687329,24.0487133391,0.3820399018,1204,7,33,0,47,944,519,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0,0,0,0,0,0,23.75,23.75,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.57812865367,74.2655431565,957,72.0211796857,79.7335458893,2.6417672512,R1,2.33131326687,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,74.2655431565,957,Watchlist
TN5K-1735,35.6593745177,-87.1562343459,25,1,1,,1,0,1,1.142175085,nonmetro,nonmetro_proxy,middle,middle|nonmetro,4.6641808197,4.6641808197,12.099136141,500,1,0.0348374986,23.7743981802,0.3654184171,1235,7,29,0,51,1189,522,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0,0.01052631578947368,0,0.01578947368421053,0,0.02631578947368421,23.125,22.4375,0.9736842105263158,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.61806103167,73.2862673651,993,70.4600318834,78.3864723298,3.78046003188,R1,2.35431000831,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,73.2862673651,993,Watchlist
TN5K-1736,35.7038418779,-87.1510538735,25,1,1,,0,0,1,2.0264527135,nonmetro,nonmetro_proxy,middle,middle|nonmetro,0.7039624052,0.7039624052,10.8897557663,500,1,1.1842504519,24.0159099406,0.5450836203,1256,6,29,0,51,1166,522,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0.002631578947368421,0,0,0.01052631578947368,0,0.0131578947368421,23.4375,23.4375,0.9868421052631579,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.31344808555,81.484855386,674,78.9660669551,85.4258711,2.60191300387,R1,2.47998958607,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,81.484855386,674,Priority 2
TN5K-1737,35.7483074019,-87.1458673458,25,1,1,,0,0,0,1.483260009,nonmetro,nonmetro_proxy,middle,middle|nonmetro,1.6861640726,1.6861640726,10.2696547174,500,1,0.4972321429,24.3951498696,0.4080044584,1279,6,29,0,52,1166,522,33755,2069,G,311,35,J,830,138,G,47119,Maury County,point_in_county,5,0,0,0,0,0,0,23.75,23.75,1,eligible,1,,1,D1_v2_IM3_adapted_2026-09-13,16,0.1,0,TN_DFIRM_statewide_service; floodway_only,-2.44450935774,78.1598724664,807,75.4030972444,82.8444545662,2.58483261216,R1,2.41977275618,false,TN-DC-1.0.0,pls_logistic,112d6db67d7f4f9e74fa8edde3406937e1f8eb7145e9bc04a64e7030cf1d3e03,2026-09-17T19:05:46Z,eligible,,not_assessed_phase4c,78.1598724664,807,Priority 2
