cluster,n,centroid_lat,centroid_lon,cities,operators,operator_hhi,core_share,operational_share,median_nn_km
C1 Memphis area,11,35.07122732727273,-89.89458617272727,2,10,0.10743801652892562,1.0,0.7272727272727273,6.183699762876889
C2 Nashville area,19,36.101204429999996,-86.77320181947368,3,14,0.08033240997229917,1.0,0.8421052631578947,1.97631402313534
C3 Chattanooga area,4,35.048621749999995,-85.27076525000001,1,4,0.25,1.0,0.75,1.3303875244121366
C4 Knoxville area,7,35.918017951428574,-84.06511367142856,2,7,0.14285714285714285,0.8571428571428571,1.0,1.4454623860163978
