k,silhouette,inertia
2,0.38817586432771006,796.4108336831457
3,0.3797990554584466,614.0047347680147
4,0.35380458301289947,532.5422448797071
5,0.24311291889615327,467.83460633376853
6,0.2530122002295267,416.16115324184767
7,0.26045865864959683,373.11261646821976
8,0.2762650034005698,344.99867186355476
