facility_id,facility_name,operator,city,county,latitude,longitude,location_precision,location_confidence,status_normalized,facility_type,analysis_scope,nearest_neighbor_km,cluster,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,county_geoid,county_name,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,record_id,record_role,geo_cluster_raw,geo_cluster,expanded_nearest_neighbor_km,feature_cluster,feature_pc1,feature_pc2
TNDC-011,Flexential - Nashville/Cool Springs (NAS02/03),Flexential,Franklin,Williamson,35.951091,-86.833251,address_or_site,high,operational,data_center,core_data_center,3.2412571929598153,C2 Nashville area,1.1489252392323943,1.1489252392323943,3.211250079234238,500.0,1,1.2128289754225414,1.7489654321643044,0.2093664616764297,1034,47187,Williamson County,36,859.0,519.0,53,1188.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,TNDC-011,confirmed_master,0,E3 Nashville area,3.2412571929602416,F2,1.3308840238393298,-0.24237447482339397
TNDC-012,Flexential - Nashville/Franklin (NAS05/06),Flexential,Franklin,Williamson,35.92028,-86.815618,address_or_site,high,operational,data_center,core_data_center,3.65144110529003,C2 Nashville area,0.1564264696118872,0.1564264696118872,5.722274609053078,500.0,1,0.6342379741208156,0.6342379741208156,0.1821857162638619,1030,47187,Williamson County,35,847.0,519.0,54,1202.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,TNDC-012,confirmed_master,0,E3 Nashville area,3.651441105288981,F2,1.5199294380041732,-0.2978688348275874
TNDC-013,TierPoint Nashville,TierPoint,Franklin,Williamson,35.924575,-86.85582,address_or_site,high,operational,data_center,core_data_center,3.580764672121382,C2 Nashville area,0.1963708261707566,0.1963708261707566,6.691251651484206,500.0,1,0.5817709748863257,2.973406278764428,0.397530656515906,1066,47187,Williamson County,36,859.0,519.0,53,1188.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,TNDC-013,confirmed_master,0,E3 Nashville area,3.5807646721207775,F2,1.3911732732193152,-0.2788624663040687
TNDC-014,Centersquare Gallatin (NAS) Campus,Centersquare,Gallatin,Sumner,36.40406,-86.39812,exact,high,operational,data_center,core_data_center,2.3980314314913542,Noise / isolated,1.541822644321149,1.541822644321149,12.415479711967578,500.0,1,0.7719361137903836,24.206824773615864,1.2778095465339745,925,47165,Sumner County,30,615.0,467.0,57,1692.0,956.0,56402,3875,G,754.0,70.0,H,1911.0,289.0,G,TNDC-014,confirmed_master,-1,Noise / isolated,2.3980314314913422,F2,0.5508276941846694,1.6222605646206325
TNDC-015,Meta Gallatin Data Center Campus,Meta,Gallatin,Sumner,36.41011,-86.3724,address_or_site,medium,operational,data_center,core_data_center,2.3980314314913542,Noise / isolated,3.91959956912533,3.91959956912533,14.790394818910544,500.0,1,1.6581578932936945,24.948091855395333,0.4422402921235759,930,47165,Sumner County,29,593.0,419.0,57,1692.0,956.0,56402,3875,G,754.0,70.0,H,1911.0,289.0,G,TNDC-015,confirmed_master,-1,Noise / isolated,2.3980314314913422,F2,0.33179914877270394,1.8670464387277312
TNDC-016,CleanSpark Jellico Bitcoin Mining Facility,"CleanSpark, Inc.",Jellico,Campbell,36.5825,-84.1306,approximate,medium,operational,crypto_mining,crypto_mining,28.99347267843897,Noise / isolated,1.1978992125192136,1.1978992125192136,31.896433653443474,161.0,3,0.1124495739899919,1.4793724136890174,0.3235840952448916,917,47013,Campbell County,6,1544.0,26.0,24,2138.0,994.0,7285,579,G,43.0,13.0,H,98.0,24.0,H,TNDC-016,confirmed_master,-1,Noise / isolated,28.993472678439456,F1,-1.8214036833599803,3.2355579207445824
TNDC-017,Bitdeer Knoxville AI Datacenter (5101 S. National Drive),Bitdeer,Knoxville,Knox,35.941272,-83.836066,address_or_site,high,operational,data_center,core_data_center,7.584785746838801,C4 Knoxville area,0.2313865857682145,1.7093783161502618,18.81818062745676,500.0,2,1.048316797114264,7.503498068760646,0.2826796179112065,1210,47093,Knox County,11,381.0,968.0,28,1989.0,1052.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,TNDC-017,confirmed_master,3,E5 Knoxville area,7.584785746838887,F2,1.7001624300219302,1.0413569237792484
TNDC-018,Peace Communications KNX1,Scipio Technologies,Knoxville,Knox,35.965586,-83.921438,address_or_site,high,operational,interconnection_facility,core_data_center,0.992513351398504,C4 Knoxville area,0.4268084066683132,2.859111353593593,14.090986329547407,500.0,2,0.2191797735874382,0.5679865991787838,0.355008815222425,1220,47093,Knox County,12,395.0,968.0,27,1975.0,1048.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,TNDC-018,confirmed_master,3,E5 Knoxville area,0.9925133513977842,F2,1.94600028858879,0.709172398375178
TNDC-019,CleanSpark Lenoir City Bitcoin Mining Facility,"CleanSpark, Inc.",Lenoir City,Loudon,35.7973,-84.256,approximate,medium,operational,crypto_mining,crypto_mining,4.917109437996493,C4 Knoxville area,0.1749519251604409,0.7331509214128205,7.003961137321444,500.0,2,0.0156475901485648,3.9786798846338463,0.4660022321881332,1210,47105,Loudon County,14,390.0,969.0,28,495.0,978.0,14920,1027,G,374.0,12.0,J,666.0,66.0,H,TNDC-019,confirmed_master,3,E5 Knoxville area,4.917109437997018,F2,-1.0272441460727524,0.4145282994363949
TNDC-020,CleanSpark Limestone Bitcoin Mining Facility (closed 2026),"CleanSpark, Inc.",Limestone,Washington,36.2235,-82.625,approximate,medium,cancelled,crypto_mining,crypto_mining,57.045255277578455,Noise / isolated,0.190786926193177,2.1251177094146807,17.66443363436844,500.0,1,1.474933927023007,16.368752508779316,0.495141034497529,1148,47179,Washington County,8,224.0,23.0,33,749.0,74.0,56072,3076,G,771.0,56.0,H,1514.0,197.0,H,TNDC-020,confirmed_master,-1,Noise / isolated,57.04525527757844,F1,-2.959278468727253,-1.3844154039273129
TNDC-021,Arnold Air Force Base Data Center,Arnold Engineering Development Complex (AEDC),Manchester,Coffee,35.37539,-86.07293,approximate_site,medium,cancelled,data_center,core_data_center,43.6773958414442,Noise / isolated,1.4658739374691323,1.4658739374691323,3.778594864329164,500.0,1,5.375552404498445,6.896218127128046,0.1760684700295366,1018,47031,Coffee County,5,67.0,0.0,38,929.0,937.0,21060,1308,G,298.0,22.0,H,1083.0,77.0,H,TNDC-021,confirmed_master,-1,Noise / isolated,43.677395841444316,F1,-3.9130045776273294,1.6418038386332061
TNDC-022,CleanSpark Maynardville Bitcoin Mining Facility,"CleanSpark, Inc.",Maynardville,Union,36.2506,-83.7974,approximate,medium,operational,crypto_mining,crypto_mining,27.74221155274318,Noise / isolated,0.0349440603714979,10.264845416036176,11.767292743393927,500.0,1,0.1754402631891888,25.255352267090117,0.1102396338194165,985,47173,Union County,15,420.0,965.0,25,1973.0,994.0,1971,228,G,65.0,7.0,H,91.0,12.0,J,TNDC-022,confirmed_master,-1,Noise / isolated,27.742211552743488,F1,-1.202020028260808,3.5146375530361036
TNDC-023,Hixson Data Center (McMinnville),Hixson Data Center,McMinnville,Warren,35.718937,-85.83887,approximate_site,medium,proposed,data_center,core_data_center,7.55864423304588,Noise / isolated,3.670810269189298,3.670810269189298,43.05319069901394,161.0,1,1.639881477326324,32.901569856081274,0.685404786228203,895,47177,Warren County,3,213.0,52.0,52,1307.0,958.0,9738,781,H,196.0,12.0,H,170.0,46.0,H,TNDC-023,confirmed_master,-1,Noise / isolated,7.558644233045589,F1,-2.512796388119421,2.7911961067089077
TNDC-024,Litewire McMinnville (former A.O. Smith Building),Litewire,McMinnville,Warren,35.69221,-85.7619,exact,high,operational,data_center,core_data_center,7.55864423304588,Noise / isolated,2.132477135416224,2.132477135416224,38.88347996553414,161.0,1,0.4944864850989494,35.95161008183839,0.7994885219051292,841,47177,Warren County,2,14.0,0.0,40,935.0,552.0,9738,781,H,196.0,12.0,H,170.0,46.0,H,TNDC-024,confirmed_master,-1,Noise / isolated,7.558644233045589,F1,-5.230111164185027,1.8701568434328455
TNDC-026,DataBank Memphis (MEM1),DataBank,Memphis,Shelby,35.203086,-89.808615,address_or_site,high,operational,data_center,core_data_center,6.5393152771957945,C1 Memphis area,1.801478760362311,1.801478760362311,6.51808905597597,500.0,2,0.1614199250776193,1.4795104512074932,0.4020932115671458,1606,47157,Shelby County,27,956.0,286.0,36,1218.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,TNDC-026,confirmed_master,2,E1 Memphis area,6.539315277195678,F2,1.1969375145705157,-0.9069584876440504
TNDC-027,EdgeConneX Memphis (EDCMEM01),EdgeConneX Inc.,Memphis,Shelby,35.038995,-89.88623,address_or_site,high,operational,interconnection_facility,core_data_center,0.3454071544348475,C1 Memphis area,0.4488855567176492,3.197151023892995,3.197151023892995,500.0,2,2.045267858764466,4.738141350151713,0.1410492800953825,1240,47157,Shelby County,29,1106.0,296.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,TNDC-027,confirmed_master,2,E1 Memphis area,0.345407154435508,F2,1.1572743340977691,-0.5230126136668466
TNDC-028,Expedient Memphis,Expedient,Memphis,Shelby,35.062965,-89.786143,address_or_site,high,operational,interconnection_facility,core_data_center,9.26082548446652,C1 Memphis area,2.743864322292094,2.743864322292094,4.203553032602433,500.0,2,1.7586309331365042,8.267327931912364,0.2850046653473752,1366,47157,Shelby County,28,959.0,286.0,36,1235.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,TNDC-028,confirmed_master,2,E1 Memphis area,9.260825484465618,F2,0.9568388798140678,-0.5168281949122732
TNDC-029,Level(3) Memphis,Lumen Technologies Inc,Memphis,Shelby,35.028826,-89.930755,address_or_site,high,operational,interconnection_facility,core_data_center,0.6115269873530994,C1 Memphis area,0.3074476694115916,3.465447418191996,3.465447418191996,500.0,3,0.5701825438554421,5.5848875252100845,0.4033270583573426,1185,47157,Shelby County,28,1103.0,296.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,TNDC-029,confirmed_master,2,E1 Memphis area,0.6115269873521512,F2,1.203046096701084,-0.6263958393470713
TNDC-030,xAI Colossus 1,xAI,Memphis,Shelby,35.05983,-90.1562,address_or_site,high,operational,data_center,core_data_center,12.992330991063133,C1 Memphis area,0.3825056426327811,0.3825056426327811,0.6164401627809571,500.0,3,7.504371525109421,7.836205367039168,1.966385380374673,1123,47157,Shelby County,27,956.0,286.0,36,1231.0,540.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,TNDC-030,confirmed_master,2,E1 Memphis area,12.992330991063099,F2,1.1626479425185126,-0.6205855516489092
TNDC-031,xAI Colossus 2,xAI,Memphis,Shelby,34.998074,-90.03507,address_or_site,high,expanding,data_center,core_data_center,9.853330615022765,C1 Memphis area,0.331100853314858,0.5450873034591647,0.5450873034591647,500.0,3,0.9131365437319892,2.9605312398261776,0.5167153407544153,1127,47157,Shelby County,28,1103.0,296.0,34,1174.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,TNDC-031,confirmed_master,2,E1 Memphis area,9.853330615023175,F2,1.3010948811923975,-0.783245775450713
TNDC-032,DC BLOX Nashville (Grassmere Park),DC BLOX,Nashville,Davidson,36.090492,-86.74721,address_or_site,high,proposed,data_center,core_data_center,1.5634296886992427,C2 Nashville area,0.115983122705762,0.6606674404981177,11.2366852000021,500.0,1,1.0324548896531869,1.3766893607197908,0.5877614886412902,893,47037,Davidson County,38,949.0,519.0,50,1172.0,522.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-032,confirmed_master,0,E3 Nashville area,1.5634296886990042,F2,2.123894624247997,-0.7867713508753092
