site_id,facility_name,record_role,candidate_type,candidate_confidence,location_precision,location_confidence,primary_weight,weighted_weight,strict_weight,weight_basis
TNDC-055,Lumen Nashville 4 / Berry Hill,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-056,Saragon Nashville,confirmed_master,,,approximate_site,medium,1.0,1.0,1.0,confirmed Master
TNDC-057,WorldSpice Data Center,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-058,Connect Data Centers Memphis,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-059,5C MEM01,confirmed_master,,,approximate_site,medium,1.0,1.0,1.0,confirmed Master
TNDC-060,The STEM Practice Memphis,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNDC-061,Humboldt / Gibson County Crypto Mining Facility,confirmed_master,,,approximate_site,medium,1.0,1.0,1.0,confirmed Master
TNDC-062,Windstream Bristol Data Center,confirmed_master,,,address_or_site,high,1.0,1.0,1.0,confirmed Master
TNCAND-002,Horizon Center TVA Certified Data Center Site,candidate,certified_data_center_site,high,approximate_site,medium,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-003,Corridor Park Lots 21 & 23 TVA Certified Data Center Site,candidate,certified_data_center_site,high,address_or_site,high,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-004,Tiger Jones Technology Park Enterprise Data Center Site,candidate,certified_primary_data_center_site,high,address_or_site,high,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-005,GRIID Jackson 60 MW Bitcoin Mining Project,candidate,announced_crypto_mining_site,medium,address_or_site,high,0.0,0.5,0.5,Candidate evidence confidence
TNCAND-006,Atmosphere Nashville 120 MW Campus,candidate,proposed_data_center_campus,medium,area_or_city,low,0.0,0.5,0.0,Candidate evidence confidence
TNCAND-007,Tennessee State Data Center South,candidate,operational_government_data_center,high,approximate_site,medium,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-008,Tennessee State Data Center North,candidate,operational_government_data_center,high,address_or_site,high,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-009,Oak Ridge Leadership Computing Facility / NICS shared ORNL site,candidate,operational_research_computing_facility,high,address_or_site,high,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-011,Vanderbilt ACCRE Data Center Rooms,candidate,operational_research_computing_facility,high,address_or_site,high,0.0,0.75,0.75,Candidate evidence confidence
TNCAND-013,Airnet / Dataprise Chattanooga,candidate,legacy_operational_listing,medium,address_or_site,high,0.0,0.5,0.5,Candidate evidence confidence
TNCAND-014,Windstream Nashville — 940 3rd Ave N,candidate,legacy_operational_listing,medium,address_or_site,high,0.0,0.5,0.5,Candidate evidence confidence
TNCAND-015,Verizon / XO Memphis,candidate,legacy_operational_listing,medium,address_or_site,high,0.0,0.5,0.5,Candidate evidence confidence
TNCAND-016,Lumen Memphis 2 / former tw telecom,candidate,legacy_operational_listing,medium,address_or_site,high,0.0,0.5,0.5,Candidate evidence confidence
TNCAND-017,CleanSpark Mountain City 30 MW Bitcoin Mining Proposal,candidate,cancelled_crypto_mining_proposal,high,address_or_site,high,0.0,0.75,0.75,Candidate evidence confidence
